event_file;eeg_file;total_votes_received;fraction_of_yes;Mode
spkscal001-1019_32617;spkscal001;10;1.0;Test
spkscal003-60_06641;spkscal003;10;1.0;Test
spkscal003-212_15625;spkscal003;10;1.0;Test
spkscal003-226_39453;spkscal003;10;1.0;Test
spkscal003-352_03516;spkscal003;10;1.0;Test
spkscal003-992_92578;spkscal003;10;1.0;Test
spkscal003-1147_54297;spkscal003;10;1.0;Test
spkscal003-1317_30078;spkscal003;10;1.0;Test
spkscal003-1567_05469;spkscal003;10;1.0;Test
spkscal004-123_39648;spkscal004;10;1.0;Test
spkscal004-124_92969;spkscal004;10;1.0;Test
spkscal004-183_52734;spkscal004;10;1.0;Test
spkscal004-183_78711;spkscal004;10;1.0;Test
spkscal004-259_42383;spkscal004;10;1.0;Test
spkscal004-268_85742;spkscal004;10;1.0;Test
spkscal004-415_67383;spkscal004;10;1.0;Test
spkscal004-486_10742;spkscal004;10;1.0;Test
spkscal006-12_35547;spkscal006;10;1.0;Test
spkscal006-53_22266;spkscal006;10;1.0;Test
spkscal006-54_90625;spkscal006;10;1.0;Test
spkscal006-56_53906;spkscal006;10;1.0;Test
spkscal006-72_02734;spkscal006;10;1.0;Test
spkscal006-79_25;spkscal006;10;1.0;Test
spkscal006-80_47656;spkscal006;10;1.0;Test
spkscal006-81_40625;spkscal006;10;1.0;Test
spkscal006-94_79297;spkscal006;10;1.0;Test
spkscal006-102_42969;spkscal006;10;1.0;Test
spkscal006-105_85938;spkscal006;10;1.0;Test
spkscal006-136_75;spkscal006;10;1.0;Test
spkscal006-142_03516;spkscal006;10;1.0;Test
spkscal006-146_80078;spkscal006;10;1.0;Test
spkscal006-164_95312;spkscal006;10;1.0;Test
spkscal006-189_01172;spkscal006;10;1.0;Test
spkscal006-190_94141;spkscal006;10;1.0;Test
spkscal006-197_72656;spkscal006;10;1.0;Test
spkscal006-199_69922;spkscal006;10;1.0;Test
spkscal006-205_82812;spkscal006;10;1.0;Test
spkscal006-207_97266;spkscal006;10;1.0;Test
spkscal006-219_04297;spkscal006;10;1.0;Test
spkscal006-223_95703;spkscal006;10;1.0;Test
spkscal006-230_26562;spkscal006;10;1.0;Test
spkscal006-239_97656;spkscal006;10;1.0;Test
spkscal006-248_71484;spkscal006;10;1.0;Test
spkscal006-252_22266;spkscal006;10;1.0;Test
spkscal006-289_08594;spkscal006;10;1.0;Test
spkscal006-292_44922;spkscal006;10;1.0;Test
spkscal006-319_80469;spkscal006;10;1.0;Test
spkscal006-339_84375;spkscal006;10;1.0;Test
spkscal006-370_83594;spkscal006;10;1.0;Test
spkscal006-372_22656;spkscal006;10;1.0;Test
spkscal006-374_25391;spkscal006;10;1.0;Test
spkscal006-377_99609;spkscal006;10;1.0;Test
spkscal006-389_33594;spkscal006;10;1.0;Test
spkscal006-408_59766;spkscal006;10;1.0;Test
spkscal007-13_12891;spkscal007;10;1.0;Test
spkscal007-23_09766;spkscal007;10;1.0;Test
spkscal007-43_96484;spkscal007;10;1.0;Test
spkscal007-55_61328;spkscal007;10;1.0;Test
spkscal007-60_08594;spkscal007;10;1.0;Test
spkscal007-64_55078;spkscal007;10;1.0;Test
spkscal007-77_63672;spkscal007;10;1.0;Test
spkscal007-81_60938;spkscal007;10;1.0;Test
spkscal007-93_97656;spkscal007;10;1.0;Test
spkscal007-101_9375;spkscal007;10;1.0;Test
spkscal007-134_76562;spkscal007;10;1.0;Test
spkscal007-135_10547;spkscal007;10;1.0;Test
spkscal007-164_22656;spkscal007;10;1.0;Test
spkscal007-168_44922;spkscal007;10;1.0;Test
spkscal007-169_13281;spkscal007;10;1.0;Test
spkscal007-172_99609;spkscal007;10;1.0;Test
spkscal007-176_76562;spkscal007;10;1.0;Test
spkscal007-177_07422;spkscal007;10;1.0;Test
spkscal007-177_35938;spkscal007;10;1.0;Test
spkscal007-178_01953;spkscal007;10;1.0;Test
spkscal007-178_90234;spkscal007;10;1.0;Test
spkscal007-180_54297;spkscal007;10;1.0;Test
spkscal007-181_49219;spkscal007;10;1.0;Test
spkscal007-183_21484;spkscal007;10;1.0;Test
spkscal007-183_91016;spkscal007;10;1.0;Test
spkscal007-184_84375;spkscal007;10;1.0;Test
spkscal007-185_59766;spkscal007;10;1.0;Test
spkscal007-199_21875;spkscal007;10;1.0;Test
spkscal007-199_85156;spkscal007;10;1.0;Test
spkscal007-237_00391;spkscal007;10;1.0;Test
spkscal007-237_33984;spkscal007;10;1.0;Test
spkscal007-238_02344;spkscal007;10;1.0;Test
spkscal007-238_56641;spkscal007;10;1.0;Test
spkscal007-270_95312;spkscal007;10;1.0;Test
spkscal007-283_45703;spkscal007;10;1.0;Test
spkscal007-301_49609;spkscal007;10;1.0;Test
spkscal007-307_84766;spkscal007;10;1.0;Test
spkscal007-318_01172;spkscal007;10;1.0;Test
spkscal007-319_48047;spkscal007;10;1.0;Test
spkscal007-319_85547;spkscal007;10;1.0;Test
spkscal007-320_13672;spkscal007;10;1.0;Test
spkscal007-321_30078;spkscal007;10;1.0;Test
spkscal007-329_55859;spkscal007;10;1.0;Test
spkscal007-339_07031;spkscal007;10;1.0;Test
spkscal007-349_17578;spkscal007;10;1.0;Test
spkscal007-349_74219;spkscal007;10;1.0;Test
spkscal007-349_99219;spkscal007;10;1.0;Test
spkscal007-350_30078;spkscal007;10;1.0;Test
spkscal007-356_42188;spkscal007;10;1.0;Test
spkscal007-356_76562;spkscal007;10;1.0;Test
spkscal007-357_41016;spkscal007;10;1.0;Test
spkscal007-382_60938;spkscal007;10;1.0;Test
spkscal007-383_23047;spkscal007;10;1.0;Test
spkscal007-414_27734;spkscal007;10;1.0;Test
spkscal007-414_59375;spkscal007;10;1.0;Test
spkscal007-415_26562;spkscal007;10;1.0;Test
spkscal007-416_49219;spkscal007;10;1.0;Test
spkscal007-417_80078;spkscal007;10;1.0;Test
spkscal007-429_82031;spkscal007;10;1.0;Test
spkscal007-430_72656;spkscal007;10;1.0;Test
spkscal007-432_32422;spkscal007;10;1.0;Test
spkscal007-437_52344;spkscal007;10;1.0;Test
spkscal007-438_72266;spkscal007;10;1.0;Test
spkscal007-443_95703;spkscal007;10;1.0;Test
spkscal007-448_92578;spkscal007;10;1.0;Test
spkscal007-449_58203;spkscal007;10;1.0;Test
spkscal007-460_67969;spkscal007;10;1.0;Test
spkscal007-617_87891;spkscal007;10;1.0;Test
spkscal007-626_18359;spkscal007;10;1.0;Test
spkscal007-635_74609;spkscal007;10;1.0;Test
spkscal007-636_77734;spkscal007;10;1.0;Test
spkscal007-645_49219;spkscal007;10;1.0;Test
spkscal007-645_84766;spkscal007;10;1.0;Test
spkscal007-678_23828;spkscal007;10;1.0;Test
spkscal007-681_50781;spkscal007;10;1.0;Test
spkscal007-686_46094;spkscal007;10;1.0;Test
spkscal007-687_07812;spkscal007;10;1.0;Test
spkscal007-710_30469;spkscal007;10;1.0;Test
spkscal007-712_91406;spkscal007;10;1.0;Test
spkscal007-713_83594;spkscal007;10;1.0;Test
spkscal007-716_17578;spkscal007;10;1.0;Test
spkscal007-724_33594;spkscal007;10;1.0;Test
spkscal007-729_94141;spkscal007;10;1.0;Test
spkscal007-951_41016;spkscal007;10;1.0;Test
spkscal007-955_47266;spkscal007;10;1.0;Test
spkscal007-956_60547;spkscal007;10;1.0;Test
spkscal007-1025_93359;spkscal007;10;1.0;Test
spkscal007-1153_20703;spkscal007;10;1.0;Test
spkscal007-1236_51953;spkscal007;10;1.0;Test
spkscal007-1237_74219;spkscal007;10;1.0;Test
spkscal007-1245_47656;spkscal007;10;1.0;Test
spkscal007-1275_32422;spkscal007;10;1.0;Test
spkscal009-16_74609;spkscal009;10;1.0;Test
spkscal009-74_87598;spkscal009;10;1.0;Test
spkscal009-78_58398;spkscal009;10;1.0;Test
spkscal009-83_11914;spkscal009;10;1.0;Test
spkscal009-85_63086;spkscal009;10;1.0;Test
spkscal009-96_0918;spkscal009;10;1.0;Test
spkscal009-103_29102;spkscal009;10;1.0;Test
spkscal009-106_24609;spkscal009;10;1.0;Test
spkscal009-109_23926;spkscal009;10;1.0;Test
spkscal009-111_94141;spkscal009;10;1.0;Test
spkscal009-113_8418;spkscal009;10;1.0;Test
spkscal009-114_89062;spkscal009;10;1.0;Test
spkscal009-115_83984;spkscal009;10;1.0;Test
spkscal009-116_47559;spkscal009;10;1.0;Test
spkscal009-117_41699;spkscal009;10;1.0;Test
spkscal009-119_92676;spkscal009;10;1.0;Test
spkscal009-120_7627;spkscal009;10;1.0;Test
spkscal009-129_05762;spkscal009;10;1.0;Test
spkscal009-130_10645;spkscal009;10;1.0;Test
spkscal009-133_06445;spkscal009;10;1.0;Test
spkscal009-137_58105;spkscal009;10;1.0;Test
spkscal009-141_93262;spkscal009;10;1.0;Test
spkscal009-145_46289;spkscal009;10;1.0;Test
spkscal009-164_9502;spkscal009;10;1.0;Test
spkscal009-166_0166;spkscal009;10;1.0;Test
spkscal009-171_04395;spkscal009;10;1.0;Test
spkscal009-171_9873;spkscal009;10;1.0;Test
spkscal009-176_78711;spkscal009;10;1.0;Test
spkscal009-179_65918;spkscal009;10;1.0;Test
spkscal009-189_02051;spkscal009;10;1.0;Test
spkscal009-191_94629;spkscal009;10;1.0;Test
spkscal009-195_54883;spkscal009;10;1.0;Test
spkscal009-196_72266;spkscal009;10;1.0;Test
spkscal009-197_78906;spkscal009;10;1.0;Test
spkscal009-204_24902;spkscal009;10;1.0;Test
spkscal009-206_37598;spkscal009;10;1.0;Test
spkscal009-211_26953;spkscal009;10;1.0;Test
spkscal009-213_16113;spkscal009;10;1.0;Test
spkscal009-214_34277;spkscal009;10;1.0;Test
spkscal009-215_47266;spkscal009;10;1.0;Test
spkscal009-216_5459;spkscal009;10;1.0;Test
spkscal009-218_37695;spkscal009;10;1.0;Test
spkscal009-221_65527;spkscal009;10;1.0;Test
spkscal009-245_8125;spkscal009;10;1.0;Test
spkscal009-250_69238;spkscal009;10;1.0;Test
spkscal009-255_04492;spkscal009;10;1.0;Test
